%
%  no - oznaczenie gwiazdy
%  V - jasno"s"c w filtrze V
%  I - jasno"s"c w filtrze I
%  err_V - b"l"ad jasno"sci V
%  N_V - ilo"s"c obserwacji w filtrze V
%  N_I - ilo"s"c obserwacji w filtrze I
%  x - wsp"o"lrz"edna x na obrazie CCD (po"lno"c to -x) 
%  y - wsp"o"lrz"edna y na obrazie CCD (wsch"od to +y)
%
%  no    V       I    err_V   N_V N_I     x       y 
%       mag     mag    mag               
%
  290 16.3102 14.7899 0.0007 1730 659  504.11  691.54 
  291 16.2328 14.7904 0.0006 1838 673  491.59  251.84 
  292 16.2828 14.8019 0.0008 1656 634  769.80  768.07 
  293 16.4248 14.7947 0.0007 1793 674  494.28  836.77 
  294 16.8983 14.7942 0.0013 1637 655  604.71  695.30 
  295 15.7303 14.8087 0.0006 1838 682  457.12  486.26 
  296 16.2144 14.8058 0.0006 1846 676  679.32  241.74 
  297 16.2444 14.7937 0.0011 1840 657  992.86  624.74 
  298 16.7810 14.7848 0.0022 1459 581  439.95  701.92 
  299 16.2774 14.8185 0.0007 1741 678  589.02  415.39 
  300 16.2767 14.8344 0.0006 1814 675  608.32 1023.90 
  301 16.6382 14.8172 0.0006 1830 687  753.75  629.15 
  302 17.0755 14.7851 0.0011 1781 660  808.86 1228.21 
  303 16.4233 14.8233 0.0006 1830 680  733.88  504.18 
  304 16.4377 14.8255 0.0007 1770 676  549.36  686.12 
  305 16.2883 14.8320 0.0006 1832 683  511.70  586.60 
  306 16.2417 14.8394 0.0006 1830 682  493.66  623.08 
  307 16.7699 14.7844 0.0010 1602 633  627.68 1154.31 
  308 16.3389 14.8432 0.0008 1732 660  418.54  482.12 
  309 16.2652 14.8483 0.0005 1832 682  698.94  373.52 
  310 16.1397 14.8512 0.0008 1699 661  326.73   32.07 
  311 16.2751 14.8704 0.0039 1393 560  239.03  399.77 
  312 17.1431 14.8453 0.0009 1824 686  730.74  514.32 
  313 16.5601 14.8406 0.0008 1784 668  782.92 1060.30 
  314 16.1144 14.7798 0.0015 1418 593  385.33  896.66 
  315 16.2198 14.8669 0.0009 1594 621  408.75  156.44 
  316 17.2923 14.8485 0.0014 1755 654  256.77 1239.39 
  317 16.2509 14.8645 0.0011 1593 622  623.10  359.12 
  318 16.2768 14.8794 0.0006 1847 678  530.02  816.68 
  319 16.9119 14.8749 0.0012 1828 674 1042.58   82.16 
  320 16.4107 14.8893 0.0006 1833 675  872.97  374.91 
  321 16.3883 14.8942 0.0015 1496 618  601.25  537.63 
  322 16.2010 14.8995 0.0006 1847 678  303.26  609.11 
  323 16.4022 14.8970 0.0013 1585 629  538.80  533.21 
  324 16.4097 14.8736 0.0064 1576 612  587.35  679.21 
  325 17.1297 14.8792 0.0009 1817 686  397.40 1024.47 
  326 16.3333 14.9279 0.0007 1778 664  301.20  479.05 
  327 16.1041 14.9230 0.0007 1849 677  553.35 1057.59 
  328 16.4812 14.9232 0.0006 1831 686  726.32  435.49 
  329 16.5565 14.9370 0.0006 1841 673  756.76  595.84 
  330 16.2715 14.9365 0.0006 1840 677  588.10  732.29 
  331 16.3889 14.9338 0.0010 1795 689  375.35 1185.63 
  332 16.2904 14.9416 0.0007 1786 674  537.77  585.78 
  333 16.3022 14.9682 0.0007 1832 662  140.19  405.75 
  334 16.0744 14.9690 0.0006 1841 682  610.44  383.21 
  335 16.3764 14.9631 0.0008 1833 658  132.45  260.79 
  336 16.5008 14.9608 0.0007 1778 672  572.81  764.46 
  337 17.4683 14.9324 0.0012 1797 685  339.24 1148.91 
